image,thumbnail,link1,link2,link3,name,colorway,releaseDate,releaseYear,retailPrice,silhouette,sku,story,NZDvalue,USDvalue
https://image.goat.com/attachments/product_template_pictures/images/056/477/117/original/382563_01.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/477/117/original/382563_01.png.png,, https://flightclub.com/haribo-x-suede-poppy-red-382563-01,https://goat.com/sneakers/haribo-x-suede-poppy-red-382563-01,Haribo x Suede 'Poppy Red',Poppy Red/Poppy Red,2021-07-02,2021,80.0,Suede,382563-01,"Releasing as part of a larger collection with the German candy brand, the Haribo x PUMA Suede ‘Poppy Red’ dresses the classic model in a flooded crimson finish. ‘HARIBO’ is stamped on the lateral heel of the soft suede upper, while dual PUMA and Haribo branding lands on the stitched tongue tag and sockliner. The confectioner’s signature Goldbear gummy appears via a molded hangtag, a gel insert on the heel tab, and a subtle graphic print throughout the translucent rubber outsole.",149.1,105
https://image.goat.com/attachments/product_template_pictures/images/056/425/999/original/CV8121_102.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/425/999/original/CV8121_102.png.png,https://stockx.com/air-jordan-delta-2-white-royal, https://flightclub.com/jordan-delta-2-white-royal-cv8121-102, https://goat.com/sneakers/jordan-delta-2-white-royal-cv8121-102,Jordan Delta 2 White Royal,White/White-Royal,2021-07-02,2021,130.0,Jordan Delta,CV8121-102,,184.6,130
https://image.goat.com/attachments/product_template_pictures/images/056/174/843/original/CQ9284_008.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/174/843/original/CQ9284_008.png.png,, https://flightclub.com/lebron-18-ep-goat-cq9284-008,https://goat.com/sneakers/lebron-18-ep-goat-cq9284-008,Diana Taurasi x LeBron 18 EP 'La Cabra',Black/Pale Ivory/Spiral Sage/University Red,2021-07-02,2021,200.0,LeBron 18,CQ9284-008,,329.44,232
https://image.goat.com/attachments/product_template_pictures/images/056/376/473/original/FZ4007.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/376/473/original/FZ4007.png.png,https://stockx.com/adidas-ultra-boost-40-dna-white-gold-metallic, https://flightclub.com/ultraboost-4-0-dna-white-gold-metallic-fz4007, https://goat.com/sneakers/ultraboost-4-0-dna-white-gold-metallic-fz4007,adidas Ultra Boost 4.0 DNA White Gold Metallic,Cloud White/Cloud White/Gold Metallic,2021-07-01,2021,180.0,UltraBoost 4.0,FZ4007,,301.03999999999996,212
https://image.goat.com/attachments/product_template_pictures/images/056/843/122/original/FZ4882.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/843/122/original/FZ4882.png.png,, https://flightclub.com/adizero-ubersonic-4-white-solar-red-fz4882,https://goat.com/sneakers/adizero-ubersonic-4-white-solar-red-fz4882,Adizero Ubersonic 4 'White Solar Red',Cloud White/Silver Metallic/Solar Red,2021-07-01,2021,130.0,Adizero Ubersonic,FZ4882,,269.8,190
https://image.goat.com/attachments/product_template_pictures/images/056/376/496/original/GZ8178.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/376/496/original/GZ8178.png.png,https://stockx.com/adidas-superstar-bold-white-ambient-sky-w, https://flightclub.com/wmns-superstar-bold-dreamy-floral-gz8178, https://goat.com/sneakers/wmns-superstar-bold-dreamy-floral-gz8178,adidas Superstar Bold White Ambient Sky (W),Cloud White/Ambient Sky/Silver Metallic,2021-07-01,2021,110.0,Superstar,GZ8178,,140.57999999999998,99
https://image.goat.com/attachments/product_template_pictures/images/056/376/494/original/GZ8015.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/376/494/original/GZ8015.png.png,https://stockx.com/adidas-nmd-r1-black-rose-tone-w, https://flightclub.com/wmns-nmd_r1-black-rose-tone-gz8015, https://goat.com/sneakers/wmns-nmd_r1-black-rose-tone-gz8015,adidas NMD R1 Black Rose Tone (W),Core Black/Rose Tone/Carbon,2021-07-01,2021,140.0,NMD Runner,GZ8015,,265.53999999999996,187
https://image.goat.com/attachments/product_template_pictures/images/056/376/479/original/GV8278.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/376/479/original/GV8278.png.png,https://stockx.com/adidas-nmd-r1-white-ambient-sky-w, https://flightclub.com/wmns-nmd_r1-dreamy-floral-gv8278, https://goat.com/sneakers/wmns-nmd_r1-dreamy-floral-gv8278,adidas NMD R1 White Ambient Sky (W),Cloud White/Ambient Sky/Cloud White,2021-07-01,2021,140.0,NMD Runner,GV8278,,178.92,126
https://image.goat.com/attachments/product_template_pictures/images/056/827/058/original/S23840.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/827/058/original/S23840.png.png,, https://flightclub.com/wmns-ultraboost-21-tokyo-s23840,https://goat.com/sneakers/wmns-ultraboost-21-tokyo-s23840,Wmns UltraBoost 21 'Tokyo',Cloud White/Core Black/Solar Red,2021-07-01,2021,180.0,UltraBoost 21,S23840,,227.2,160
https://image.goat.com/attachments/product_template_pictures/images/056/827/061/original/S23863.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/827/061/original/S23863.png.png,, https://flightclub.com/ultraboost-21-tokyo-s23863,https://goat.com/sneakers/ultraboost-21-tokyo-s23863,UltraBoost 21 'Tokyo',Cloud White/Core Black/Solar Red,2021-07-01,2021,180.0,UltraBoost 21,S23863,,205.89999999999998,145
