estimatedMarketValue,gender,id,image,thumbnail,link1,link2,link3,name,colorway,releaseDate,releaseYear,retailPrice,silhouette,sku,story,NZDvalue,USDvalue
193.0,men,dc3c920e-a043-4532-8b1b-148dda59bdb6,https://image.goat.com/attachments/product_template_pictures/images/056/477/117/original/382563_01.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/477/117/original/382563_01.png.png,, https://flightclub.com/haribo-x-suede-poppy-red-382563-01,https://goat.com/sneakers/haribo-x-suede-poppy-red-382563-01,Haribo x Suede 'Poppy Red',Poppy Red/Poppy Red,2021-07-02,2021,80.0,Suede,382563-01,"Releasing as part of a larger collection with the German candy brand, the Haribo x PUMA Suede ‘Poppy Red’ dresses the classic model in a flooded crimson finish. ‘HARIBO’ is stamped on the lateral heel of the soft suede upper, while dual PUMA and Haribo branding lands on the stitched tongue tag and sockliner. The confectioner’s signature Goldbear gummy appears via a molded hangtag, a gel insert on the heel tab, and a subtle graphic print throughout the translucent rubber outsole.",0,0
165.0,men,ec422449-ef28-4407-88bf-c99e6c6af8c6,https://image.goat.com/attachments/product_template_pictures/images/056/425/999/original/CV8121_102.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/425/999/original/CV8121_102.png.png,https://stockx.com/air-jordan-delta-2-white-royal, https://flightclub.com/jordan-delta-2-white-royal-cv8121-102, https://goat.com/sneakers/jordan-delta-2-white-royal-cv8121-102,Jordan Delta 2 White Royal,White/White-Royal,2021-07-02,2021,130.0,Jordan Delta,CV8121-102,,0,0
218.0,men,f98bcc2d-5de1-4832-b385-eda638748448,https://image.goat.com/attachments/product_template_pictures/images/056/174/843/original/CQ9284_008.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/174/843/original/CQ9284_008.png.png,, https://flightclub.com/lebron-18-ep-goat-cq9284-008,https://goat.com/sneakers/lebron-18-ep-goat-cq9284-008,Diana Taurasi x LeBron 18 EP 'La Cabra',Black/Pale Ivory/Spiral Sage/University Red,2021-07-02,2021,200.0,LeBron 18,CQ9284-008,,0,0
295.0,men,0a9f4465-0001-4e29-9b45-313802fa32dd,https://image.goat.com/attachments/product_template_pictures/images/056/376/473/original/FZ4007.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/376/473/original/FZ4007.png.png,https://stockx.com/adidas-ultra-boost-40-dna-white-gold-metallic, https://flightclub.com/ultraboost-4-0-dna-white-gold-metallic-fz4007, https://goat.com/sneakers/ultraboost-4-0-dna-white-gold-metallic-fz4007,adidas Ultra Boost 4.0 DNA White Gold Metallic,Cloud White/Cloud White/Gold Metallic,2021-07-01,2021,180.0,UltraBoost 4.0,FZ4007,,0,0
130.0,men,0ad44821-4ba2-48ed-8cc2-df678f13da58,https://image.goat.com/attachments/product_template_pictures/images/056/843/122/original/FZ4882.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/843/122/original/FZ4882.png.png,, https://flightclub.com/adizero-ubersonic-4-white-solar-red-fz4882,https://goat.com/sneakers/adizero-ubersonic-4-white-solar-red-fz4882,Adizero Ubersonic 4 'White Solar Red',Cloud White/Silver Metallic/Solar Red,2021-07-01,2021,130.0,Adizero Ubersonic,FZ4882,,0,0
165.0,women,1c6da4e8-ee9f-4e29-815f-3b148159b67f,https://image.goat.com/attachments/product_template_pictures/images/056/376/496/original/GZ8178.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/376/496/original/GZ8178.png.png,https://stockx.com/adidas-superstar-bold-white-ambient-sky-w, https://flightclub.com/wmns-superstar-bold-dreamy-floral-gz8178, https://goat.com/sneakers/wmns-superstar-bold-dreamy-floral-gz8178,adidas Superstar Bold White Ambient Sky (W),Cloud White/Ambient Sky/Silver Metallic,2021-07-01,2021,110.0,Superstar,GZ8178,,0,0
195.0,women,23fe040a-fe83-4b27-9e00-906e9533f5b9,https://image.goat.com/attachments/product_template_pictures/images/056/376/494/original/GZ8015.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/376/494/original/GZ8015.png.png,https://stockx.com/adidas-nmd-r1-black-rose-tone-w, https://flightclub.com/wmns-nmd_r1-black-rose-tone-gz8015, https://goat.com/sneakers/wmns-nmd_r1-black-rose-tone-gz8015,adidas NMD R1 Black Rose Tone (W),Core Black/Rose Tone/Carbon,2021-07-01,2021,140.0,NMD Runner,GZ8015,,0,0
265.0,women,26dc275f-5743-4cc7-bdfd-74d1c3927c20,https://image.goat.com/attachments/product_template_pictures/images/056/376/479/original/GV8278.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/376/479/original/GV8278.png.png,https://stockx.com/adidas-nmd-r1-white-ambient-sky-w, https://flightclub.com/wmns-nmd_r1-dreamy-floral-gv8278, https://goat.com/sneakers/wmns-nmd_r1-dreamy-floral-gv8278,adidas NMD R1 White Ambient Sky (W),Cloud White/Ambient Sky/Cloud White,2021-07-01,2021,140.0,NMD Runner,GV8278,,0,0
200.0,women,2eb54572-032d-4e88-93a9-b2a661a99f88,https://image.goat.com/attachments/product_template_pictures/images/056/827/058/original/S23840.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/827/058/original/S23840.png.png,, https://flightclub.com/wmns-ultraboost-21-tokyo-s23840,https://goat.com/sneakers/wmns-ultraboost-21-tokyo-s23840,Wmns UltraBoost 21 'Tokyo',Cloud White/Core Black/Solar Red,2021-07-01,2021,180.0,UltraBoost 21,S23840,,0,0
174.0,men,50c7c2c5-a85a-4ea9-8a53-0de09cf5cada,https://image.goat.com/attachments/product_template_pictures/images/056/827/061/original/S23863.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/827/061/original/S23863.png.png,, https://flightclub.com/ultraboost-21-tokyo-s23863,https://goat.com/sneakers/ultraboost-21-tokyo-s23863,UltraBoost 21 'Tokyo',Cloud White/Core Black/Solar Red,2021-07-01,2021,180.0,UltraBoost 21,S23863,,0,0
